age,muscle_mass,body_fat,percentage,height,weight,
25,33.2,13.6,18.9,173.6,72.1,
28,44.5,28.7,27,183.3,106.2,
19,36.5,5.6,8.1,174.4,69.1,
20,35.2,7,10.3,175.1,68.4,
22,40.4,11.6,14.1,185.1,81.9,
23,41.5,21.1,22.6,178.1,93.5,
24,50,13.4,13.5,183.8,99.6,
24,44.5,9.4,10.8,191.5,86.7,
27,38.1,8.4,11.3,172.9,74.7,
26,35.5,11.1,15.3,163.9,72.5,
20,33,7.7,11.7,176.9,66.1,
26,38.2,13.2,16.7,175.1,79.4,
20,38.9,13,16.1,173.6,80.8,
28,37.9,13.6,17,185,80.3,
23,35.2,8.4,11.9,167,70.6,
26,33,11.8,17,172.9,69.8,
21,31.7,8.7,13.5,171.8,64.4,
25,43.3,10.4,12.1,183.5,86.1,
21,36.8,9.5,13,172.4,73.6,
25,30,5.8,9.9,164.5,58.6,
28,37.5,9.8,13,178.6,75.2,
60,36.9,20.1,23.5,176.4,85.5,
19,30.1,7.5,12.3,168.6,60.8,
22,34,10.1,14.4,176.5,69.8,
24,34.9,7.1,10.4,176.4,68.3,
20,37.8,14.9,18.5,175.1,80.7,
19,35.5,9.8,13.6,176.6,71.9,
23,37.9,15,18.5,173,81,
21,43.9,25.7,25.2,179.4,102.1,
22,33.7,8.9,13,172.4,68.2,
26,34.4,17.4,22.2,175.7,78.5,
19,29.9,9.8,15.5,175.5,63.4,
18,30.1,8.3,13.4,169.9,62.1,
26,31.9,12.8,18.6,167.8,68.7,
23,32.4,7.9,12.1,180.4,65.6,
24,33.6,10.4,15,172.2,69.2,
22,38.7,12.3,15.3,177.7,80,
26,40.2,7.2,9.3,175,77,
25,36.1,9.4,12.8,177.3,73.2,
25,40,5.1,6.8,181.8,74.8,
28,43.3,20,21,177.8,94.9,
26,35.8,10.4,14.3,178.6,72.8,
27,37.1,9.5,12.8,177,74.1,
26,39.7,9.2,11.7,176.5,78.3,
20,19,15,29.9,156,50.1,
31,18.3,12,25.9,154.4,46.1,
19,21.4,16.9,30,160,56.4,
21,23.2,15.3,26.4,165.6,57.8,
55,26.2,28.2,37.1,166.1,76,
22,22.9,12.8,23.3,166.9,54.9,
45,20.6,13.5,26,162.1,52,
27,22.5,10.6,20.5,165.7,51.7,
22,27,16.7,25.5,171.1,65.4,
20,20.2,7.9,17.4,163.7,45.3,
55,21.5,18.4,31.8,153.9,57.8,
56,19.1,19.4,35.1,155.1,55.3,
19,21.2,11.9,23.4,156,50.8,
44,19.8,9.9,21.3,157,46.7,
60,24.8,20.8,31.5,162.6,66.2,
64,18.6,20,36.4,149.4,55,
20,19.6,11.2,23.4,169,47.9,
16,24.9,17.4,27.8,172,62.5,
16,25.5,12.9,21.8,165.7,59.2,
16,31.8,12.2,17.8,173.6,68.6,
16,23.3,13.4,24,162.6,55.8,
16,34.1,16.4,21.4,174,76.7,
16,30.3,6.2,10.3,173.8,60,
16,26.5,10.3,17.6,170.7,58.2,
16,29.1,5.8,10,175.4,58,
16,32.2,6.1,9.6,185.2,63.2,
16,25.9,5.8,11.2,161.5,52.2,
16,34.8,13.5,18,173.5,75,
16,33.1,14.9,20.2,171.8,73.8,
16,30.6,28.6,34.3,167.9,83.3,
16,32.9,9.5,14,173,67.7,
16,31,5.4,9,172.1,60.1,
16,32.5,22,27.5,173.6,79.9,
15,31.1,10.8,16.4,171.4,65.9,
16,29.7,5.1,8.8,171,57.6,
16,32.6,19.1,24.7,175.4,77.5,
16,28.7,5.9,10.4,179.5,57.3,
16,26.2,6.5,12.2,169,53.4,
15,27,7.9,14.1,161.4,55.9,
16,31.9,17.5,23.5,175.5,74.3,
16,28.4,4.8,8.7,175.6,55.6,
15,30.9,8.2,13,174.9,63.4,
16,44.4,33.2,29.8,181.1,111.4,
16,33.6,11.8,16.6,175.6,71.3,
16,31.5,10.7,16.1,171.1,66.7,
16,34,12.4,17.1,172.4,72.4,
16,26.9,9.2,16.1,171,57.5,
17,27.3,12.7,20.6,170,61.7,
17,30,7.6,12.5,172.6,61.1,
17,23.5,5.2,11,165.1,47.6,
16,28.8,7.7,13.1,171.1,59.3,
17,34.5,17.3,22.1,172.5,78.3,
17,32.6,14.6,20,182.8,72.8,
17,25.8,8.2,14.9,172.6,54,
17,27.9,5.4,9.7,171,55.5,
17,26.5,10.2,17.6,164.4,57.8,
17,25.8,5.9,11.2,175,52.5,
17,28.5,5.8,10.1,174.6,57.1,
17,28.2,5.7,10.1,166.1,56,
17,36.2,15.9,19.9,173,79.6,
17,29.6,13.5,20.2,174,66.7,
16,21.9,15.8,28.2,162.9,56.1,
16,19.2,11.1,23.6,164.4,47.2,
16,18.4,16.2,31.9,154.2,50.7,
16,18.9,8.6,19.4,164.4,44.2,
16,20.3,13.3,26,157.5,51,
16,17.5,12,26.6,156.4,45.2,
16,22.9,18.6,30.5,163.4,60.9,
17,22.4,18.4,30.8,166,59.8,
16,19.7,13.3,26.8,157.4,49.7,
16,20.2,11.8,23.9,161.3,49.4,
16,18.2,11,24.2,160.4,45.4,
15,18.7,11.1,24,159.4,46.1,
16,19.1,20.2,35.9,161,56.2,
16,25.4,34.8,43,163.4,80.8,
16,18,16.2,32.3,151.2,50.1,
16,17.3,10.5,24.2,154.1,43.3,
16,20.1,14.9,28.4,159.4,52.4,
16,24.2,19.8,30.9,168.1,64.1,
16,22.1,23.1,36.2,164.4,64,
16,19.8,11.8,24.2,158.5,48.7,
16,21,16.3,29.5,164.3,55.4,
16,21.8,9.8,19.7,163.3,49.7,
16,20.5,27.1,41.4,155.6,65.3,
16,20.5,16.5,30.2,163,54.6,
16,21.7,23.6,36.9,165.1,64.1,
15,19.7,11.4,23.8,158.1,47.9,
16,21.2,17.8,31.1,164.6,57.3,
16,20.8,19,32.7,166.6,58.1,
16,19.7,17,31.6,162.1,53.8,
16,16.2,16.4,34.3,157.6,47.8,
16,24.7,17.1,27.5,166,62.2,
16,23.4,19.2,30.8,160.5,62.4,
15,21.8,14.1,26.1,152,54,
16,28.2,4.4,8,170.6,55,
16,29.8,7.6,12.5,177,61,
16,23.6,6.1,12.4,162.7,48.9,
16,34.7,24.5,28.3,177,86.6,
16,16.3,25.5,46,168.3,55.3,
16,29.3,16,23.5,163,68,
16,27.5,4.5,8.4,164.3,53.7,
16,35.5,13.7,17.8,180.5,76.6,
16,35.1,9.8,13.6,178.9,71.9,
16,31.1,6.6,10.5,179,62.3,
15,27.5,8.3,14.3,169.7,58.3,
16,23.3,8.4,16.4,162.7,51,
16,30.1,4.6,7.9,170.6,58.4,
16,36.7,10.3,13.6,180.8,75.3,
16,21.7,20.1,33.4,157.5,60.1,
17,18.1,19.6,36.7,155.5,53.5,
17,24.3,13.7,23.7,164.6,57.9,
17,19.7,14.9,28.7,154.2,51.8,
17,21.6,19,32,160.4,59.2,
17,20.7,16.5,30,159.9,55.1,
17,18.9,9.5,21.2,164,45.1,
17,18.7,9.2,20.9,157,44.2,
17,22.1,12.3,23.1,169,53.2,
17,20.3,16.9,30.7,163.4,55,
17,20.5,16.5,30.2,166.4,54.6,
17,22.3,22.4,35.4,160.5,63.3,
17,22.2,12,22.7,161.5,52.9,
17,19.4,15.4,29.8,160.9,51.5,
17,26.4,30.8,39.3,158.6,78.4,
17,18.3,16.6,32.5,157.5,51,
17,21,15.3,28.1,162.6,54.3,
16,19.5,12.8,25.9,159.8,49.2,
17,24.6,27,37.6,162.1,71.8,
17,24,9.7,18.2,162.1,53.5,
17,16.7,12.8,28.6,159.4,44.6,
17,21,17.1,30.4,168,56.3,
17,20.6,15.8,29,163.9,54.5,
17,20.8,13.7,26.2,159.7,52.3,
17,19.2,11.6,24.4,158.3,47.7,
17,23.3,13.9,24.4,162.8,56.8,
17,18.1,11,24.4,154.5,45.1,
17,20.3,11.7,23.7,151.8,49.4,
